Unique UN Assigned ID	ACC/BCC/ASCC	Dictionary Entry Name	Definition	Object Class Term	Property Term Qualifier(s)	Property Term	Datatype Qualifier(s)	Representation Term	Qualified Data Type UID	Associated Object Class Term Qualifier(s)	Associated Object Class	Business Term(s)	Usage Rule(s)	Sequence Number	Occurrence Min	Occurrence Max	Version
UN00004509	ASCC	Document. Attached. Binary File	A binary file attached to this document.	Document		Attached					Binary File			16	0	unbounded	1.0
UN00002425	ACC	Driver Coverage Limitation. Details	A coverage limitation specifying inclusions or exclusions regarding the drivers for the coverage within a policy.	Driver Coverage Limitation													1.0
UN00002426	BCC	Driver Coverage Limitation. Permitted. Code	A code specifying who is covered (permitted) to drive, such as insured and spouse or insured and employees.	Driver Coverage Limitation		Permitted		Code						1	0	unbounded	1.0
UN00002427	BCC	Driver Coverage Limitation. Permitted Driver. Quantity	The number of drivers that are permitted to drive the vehicle.	Driver Coverage Limitation		Permitted Driver		Quantity						2	0	1	1.0
UN00002428	BCC	Driver Coverage Limitation. Minimum Age. Measure	A minimum age a driver must have reached in order to be covered.	Driver Coverage Limitation		Minimum Age		Measure						3	0	unbounded	1.0
UN00002429	BCC	Driver Coverage Limitation. Maximum Age. Measure	A maximum age above which drivers will not be covered.	Driver Coverage Limitation		Maximum Age		Measure						4	0	unbounded	1.0
UN00003981	ACC	Driver. Details	A person that operates a vehicle.	Driver													1.0
UN00003982	BCC	Driver. Broadened PIP Applies. Indicator	The indication of whether or not broadened PIP (Personal Injury Protection) applies to this driver.	Driver		Broadened PIP Applies		Indicator						1	0	1	1.0
UN00003983	BCC	Driver. Majority Driving Country Subdivision. Identifier	The unique identifier of the country subdivision where the driver most often operates the vehicle, such as a state in the US.	Driver		Majority Driving Country Subdivision		Identifier						2	0	1	1.0
UN00003984	BCC	Driver. Residence Country Subdivision. Identifier	The unique identifier of the residence country subdivision of the driver.	Driver		Residence Country Subdivision		Identifier						3	0	1	1.0
UN00003985	BCC	Driver. Defensive Driver Course Application. Code	The code specifying how an accredited defensive driving course credit may or may not apply.	Driver		Defensive Driver Course Application		Code						4	0	1	1.0
UN00003986	BCC	Driver. Driving Validity. Code	The code specifying the driving validity of this driver, such as that this driver is intentionally being excluded from coverage or is an unlicensed operator.	Driver		Driving Validity		Code						5	0	1	1.0
UN00003987	BCC	Driver. Good Driver. Indicator	The indication of whether or not the driver is considered to be a good driver.	Driver		Good Driver		Indicator						6	0	1	1.0
UN00003988	BCC	Driver. Relationship To Applicant. Code	The code specifying the driver's relationship to the applicant.	Driver		Relationship To Applicant		Code						7	0	1	1.0
UN00003989	BCC	Driver. Years Driving. Quantity	The number of years the driver has been driving.	Driver		Years Driving		Quantity						8	0	1	1.0
UN00003990	BCC	Driver. Training Completion. Date Time	The date on which the training course was completed.	Driver		Training Completion		Date Time						9	0	1	1.0
UN00003991	BCC	Driver. Training Credit. Indicator	The indication of whether or not this driver is eligible for driver training credit.	Driver		Training Credit		Indicator						10	0	1	1.0
UN00003992	BCC	Driver. Licence Suspension Reason. Code	The code specifying the reason for suspension or revocation of the driver's licence.	Driver		Licence Suspension Reason		Code						11	0	1	1.0
UN00003993	BCC	Driver. Distant Student. Indicator	The indication of whether or not the driver is a student who is attending a remote school. In the US, this is typically over 100 miles from the primary residence.	Driver		Distant Student		Indicator						12	0	1	1.0
UN00003994	BCC	Driver. Exposure Class. Code	The code specifying the class of exposure for this driver.	Driver		Exposure Class		Code						13	0	1	1.0
UN00003995	BCC	Driver. DOC Coverage. Indicator	The indication of whether or not Drive Other Car (DOC) coverage applies to this driver.	Driver		DOC Coverage		Indicator						14	0	1	1.0
UN00003996	BCC	Driver. Hired. Date Time	The date this driver was hired by their current employer.	Driver		Hired		Date Time						15	0	1	1.0
UN00003997	BCC	Driver. Premium Surcharge Factor. Numeric	The numeric factor for this driver which when multiplied with the base premium gives the adjusted premium.	Driver		Premium Surcharge Factor		Numeric						16	0	1	1.0
UN00003998	BCC	Driver. Commercial Driving Experience. Measure	The measure of the length of time of commercial driving experience for this driver.	Driver		Commercial Driving Experience		Measure						17	0	1	1.0
UN00003999	BCC	Driver. Relationship To Contract Holder. Code	The code specifying the driver's relationship to the contract holder.	Driver		Relationship To Contract Holder		Code						18	0	1	1.0
UN00004000	BCC	Driver. Driving Disqualified. Indicator	The indication of whether or not this driver is disqualified from driving.	Driver		Driving Disqualified		Indicator						19	0	1	1.0
UN00004001	BCC	Driver. Blood Test Performed. Indicator	The indication of whether or not a blood test was performed on this driver.	Driver		Blood Test Performed		Indicator						20	0	1	1.0
UN00004002	ASCC	Driver. Specified As. Party	The party specified as the driver.	Driver		Specified As					Party			1	0	1	1.0
UN00004003	ASCC	Driver. Good Student. Driving Credit	Good student driving credit for this driver.	Driver		Good Student					Driving Credit			2	0	1	1.0
UN00004004	ASCC	Driver. Mature Driver. Driving Credit	Mature driver driving credit for this driver.	Driver		Mature Driver					Driving Credit			3	0	1	1.0
UN00004005	ACC	Driving Credit. Details	A discount given for a motor coverage for a certain qualification of the driver.	Driving Credit													1.0
UN00004006	BCC	Driving Credit. Expiration. Date Time	The date, time, date time, or other date time value of the expiration of the driving credit.	Driving Credit		Expiration		Date Time						1	0	1	1.0
UN00004007	BCC	Driving Credit. Qualification. Indicator	The indication of whether or not the driver qualifies for the driving credit.	Driving Credit		Qualification		Indicator						2	0	1	1.0
UN00004008	BCC	Driving Credit. Effective. Date Time	The date, time, date time, or other date time value on which the Good Student Certificate or other driving credit was effective.	Driving Credit		Effective		Date Time						3	0	1	1.0
UN00004009	BCC	Driving Credit. Qualification. Date Time	The date, time, date time or other date time value on which the driver qualifies for the driving credit.	Driving Credit		Qualification		Date Time						4	0	1	1.0
UN00003524	ACC	ECID Report. Details	The Electronic Chip Identification (ECID) reporting of specific parameters.	ECID Report								SemiconductorTestDataNotification|SemiconductorProcessDataNotification					1.0
UN00003525	BCC	ECID Report. Component Number. Identifier	A unique identifier of the component number for this ECID report.	ECID Report		Component Number		Identifier						1	0	unbounded	1.0
UN00003526	BCC	ECID Report. Decoded. Identifier	A unique decoded identifier of this ECID report.	ECID Report		Decoded		Identifier						2	0	unbounded	1.0
UN00003527	BCC	ECID Report. Decoder. Identifier	A unique identifier of the decoder for the ECID report.	ECID Report		Decoder		Identifier						3	0	unbounded	1.0
UN00003528	BCC	ECID Report. Type. Text	A type of ECID report, expressed as text.	ECID Report		Type		Text						4	0	unbounded	1.0
UN00003529	BCC	ECID Report. Result. Binary Object	A binary object that is a result of this ECID report, such as hexadecimal raw bits.	ECID Report		Result		Binary Object						5	0	unbounded	1.0
UN00003530	ASCC	ECID Report. Component. Coordinate	A coordinate for a component in this ECID report.	ECID Report		Component					Coordinate			1	0	unbounded	1.0
UN00004010	ACC	Elevator. Details	A transport device used to move goods or people vertically from one floor to another.	Elevator													1.0
UN00004011	BCC	Elevator. Type. Code	The code specifying the type of elevator.	Elevator		Type		Code						1	0	1	1.0
UN00004012	BCC	Elevator. Type. Text	The type of elevator, expressed as text.	Elevator		Type		Text						2	0	1	1.0
UN00004013	BCC	Elevator. Capacity. Measure	The measure of the capacity of the elevator, such as 950 pounds.	Elevator		Capacity		Measure						3	0	1	1.0
UN00002456	ACC	Employee Count. Details	The number of employees of various classifications for a specific time period.	Employee Count													1.0
UN00002457	BCC	Employee Count. Union. Indicator	The indication of whether or not the employee count applies to union employees.	Employee Count		Union		Indicator						1	0	1	1.0
UN00002458	BCC	Employee Count. Full Time. Quantity	The number of full time employees.	Employee Count		Full Time		Quantity						2	0	1	1.0
UN00002459	BCC	Employee Count. Part Time. Quantity	The number of part time employees.	Employee Count		Part Time		Quantity						3	0	1	1.0
UN00002460	BCC	Employee Count. Seasonal. Quantity	The number of people employed only on a seasonal basis.	Employee Count		Seasonal		Quantity						4	0	1	1.0
UN00002461	BCC	Employee Count. Temporary. Quantity	The number of people employed on a temporary basis.	Employee Count		Temporary		Quantity						5	0	1	1.0
UN00002462	BCC	Employee Count. Resigned. Quantity	The number of people that left employment on a voluntary basis.	Employee Count		Resigned		Quantity						6	0	1	1.0
UN00002463	BCC	Employee Count. Terminated. Quantity	The number of people that left employment on an involuntary basis.	Employee Count		Terminated		Quantity						7	0	1	1.0
UN00002464	BCC	Employee Count. Leased. Quantity	The number of people employed on a leased basis.	Employee Count		Leased		Quantity						8	0	1	1.0
UN00002465	BCC	Employee Count. Independent Contractor. Quantity	The number of people employed as independent contractors.	Employee Count		Independent Contractor		Quantity						9	0	1	1.0
UN00002466	BCC	Employee Count. Total. Quantity	The total number of employees working for an organization.	Employee Count		Total		Quantity						10	0	1	1.0
UN00002467	BCC	Employee Count. Exempt. Quantity	The number of exempt employees.	Employee Count		Exempt		Quantity						11	0	1	1.0
UN00002468	BCC	Employee Count. Non-Exempt. Quantity	The number of non-exempt employees.	Employee Count		Non-Exempt		Quantity						12	0	1	1.0
UN00002469	BCC	Employee Count. Country Sub-Division. Identifier	The unique identifier of the country sub-division to which the employee counts apply, such as state or province.	Employee Count		Country Sub-Division		Identifier						13	0	1	1.0
UN00002470	BCC	Employee Count. Country. Identifier	The unique identifier of the country to which the employee count applies.	Employee Count		Country		Identifier						14	0	1	1.0
UN00002471	BCC	Employee Count. Location. Quantity	The number of locations to which the employee count applies.	Employee Count		Location		Quantity						15	0	1	1.0
UN00002472	ASCC	Employee Count. Timespan. Period	The span of time for which the employee count applies.	Employee Count		Timespan					Period			1	0	1	1.0
UN00004014	ACC	Employee Injury Illness. Details	An injury or illness that happens to an employee at work and for which they may be entitled to worker's compensation.	Employee Injury Illness													1.0
UN00004015	BCC	Employee Injury Illness. Work Began Time. Date Time	The time of day that work began for the employee on the day of the injury or illness.	Employee Injury Illness		Work Began Time		Date Time						1	0	1	1.0
UN00004016	BCC	Employee Injury Illness. Safeguard Description. Text	The textual description of any safeguard being used at the time of employee injury or illness.	Employee Injury Illness		Safeguard Description		Text						2	0	1	1.0
UN00004017	BCC	Employee Injury Illness. Safeguard Provided. Indicator	The indication of whether or not any type of safeguard was provided for this employee injury or illness.	Employee Injury Illness		Safeguard Provided		Indicator						3	0	1	1.0
UN00004018	BCC	Employee Injury Illness. Safeguard Used. Indicator	The indication of whether or not any safeguard was in use at the time of the employee injury or illness.	Employee Injury Illness		Safeguard Used		Indicator						4	0	1	1.0
UN00004019	BCC	Employee Injury Illness. Safety Equipment Provided Description. Text	The textual description of safety equipment provided for this employee injury or illness.	Employee Injury Illness		Safety Equipment Provided Description		Text						5	0	1	1.0
UN00004020	BCC	Employee Injury Illness. Safety Equipment Used. Indicator	The indication of whether or not any type of safety equipment was in use at the time of the employee injury or illness.	Employee Injury Illness		Safety Equipment Used		Indicator						6	0	1	1.0
UN00004021	BCC	Employee Injury Illness. Salary Continuance. Indicator	The indication of whether or not salary continuance applies to this employee injury or illness.	Employee Injury Illness		Salary Continuance		Indicator						7	0	1	1.0
UN00004022	ACC	Employee. Details	A person that works for and is paid a salary by another person or organization.	Employee													1.0
UN00004023	BCC	Employee. Employer Assigned Identification. Identifier	The unique employer assigned identification number for the employee.	Employee		Employer Assigned Identification		Identifier						1	0	1	1.0
UN00004024	BCC	Employee. Hired. Date Time	The date the employee was hired by their current employer.	Employee		Hired		Date Time						2	0	1	1.0
UN00004025	BCC	Employee. Hired Country Sub-Division. Identifier	The unique identifier for the country sub-division in which the individual was hired, such as U.S. Postal Service code.	Employee		Hired Country Sub-Division		Identifier						3	0	1	1.0
UN00004026	BCC	Employee. Full Pay Day Injured. Indicator	The indication of whether or not the employee will be paid in full for the day of the injury or illness.	Employee		Full Pay Day Injured		Indicator						4	0	1	1.0
UN00004027	BCC	Employee. Reporting Department. Text	The name of the department or division of the company to which the employee reports, expressed as text.	Employee		Reporting Department		Text						5	0	1	1.0
UN00004028	BCC	Employee. Started Current Job. Date Time	The date, time, date time or other date time value on which the employee started their current job.	Employee		Started Current Job		Date Time						6	0	1	1.0
UN00004029	BCC	Employee. Entitled Tax Exemption. Quantity	The number of tax exemptions that the employee is entitled to claim.	Employee		Entitled Tax Exemption		Quantity						7	0	1	1.0
UN00004030	BCC	Employee. Exemption Withholding. Quantity	The number of tax exemptions that the employee claims in their withholding information.	Employee		Exemption Withholding		Quantity						8	0	1	1.0
UN00004031	BCC	Employee. Premium Determining Country Sub-Division. Identifier	The unique identifier for the country sub-division whose rating values were used in determining the premium for the employee.	Employee		Premium Determining Country Sub-Division		Identifier						9	0	1	1.0
UN00004032	BCC	Employee. Insurer Contested Claim. Indicator	The indication of whether or not the employee claim is or ever was contested or disputed by the insurer.	Employee		Insurer Contested Claim		Indicator						10	0	1	1.0
UN00004033	BCC	Employee. Medical Record Release Authorization. Indicator	The indication of whether or not there is written authorization to release the medical records of the employee.	Employee		Medical Record Release Authorization		Indicator						11	0	1	1.0
UN00004034	BCC	Employee. Borrowed Department Name. Text	The name, expressed as text, of the department or division of the company that borrowed the employee.	Employee		Borrowed Department Name		Text						12	0	1	1.0
UN00004035	ASCC	Employee. Specified As. Party	The party specified as an employee.	Employee		Specified As					Party			1	0	1	1.0
UN00004036	ASCC	Employee. Specified. Employee Injury Illness	An injury or illness specified for this employee.	Employee		Specified					Employee Injury Illness			2	0	unbounded	1.0
UN00004037	ACC	Employer. Details	A person or organization that pays someone to do work on a regular or contractual basis.	Employer													1.0
UN00004038	BCC	Employer. Payroll Range. Code	The code specifying the payroll range of the employer.	Employer		Payroll Range		Code						1	0	1	1.0
UN00004039	BCC	Employer. Self-Insured. Indicator	The indication of whether or not the employer is self-insured, in whole or in part.	Employer		Self-Insured		Indicator						2	0	1	1.0
UN00004040	BCC	Employer. Lessor. Indicator	The indication of whether or not the employer is a lessor.	Employer		Lessor		Indicator						3	0	1	1.0
UN00004041	BCC	Employer. Specific Product Description. Text	The textual description of the specific product or products processed or produced by this employer.	Employer		Specific Product Description		Text						4	0	1	1.0
UN00004042	ASCC	Employer. Specified As. Party	The party specified as an employer.	Employer		Specified As					Party			1	0	1	1.0
UN00003538	ACC	Engineering Instructions. Details	The technical data necessary for the processing of a device.	Engineering Instructions								ManufacturingWorkOrderNotification					1.0
UN00003539	BCC	Engineering Instructions. Expected Days Per Layer. Numeric	A number of expected days per layer for these engineering instructions.	Engineering Instructions		Expected Days Per Layer		Numeric						1	0	unbounded	1.0
UN00003540	ASCC	Engineering Instructions. Attached. Binary File	A binary file attached to these engineering instructions.	Engineering Instructions		Attached					Binary File			1	0	unbounded	1.0
UN00003541	ASCC	Engineering Instructions. Product. Packaging	Product packaging for these engineering instructions.	Engineering Instructions		Product					Packaging			2	0	unbounded	1.0
UN00003572	ACC	Engineering Result. Details	The specific outcome of a defined cycle of steps or measurements in an engineering process.	Engineering Result								ProductQualityEventDataDistribution					1.0
UN00003573	BCC	Engineering Result. Test Cycle. Date Time	A date, time, date time, or other date time value of the test cycle that produces this engineering result.	Engineering Result		Test Cycle		Date Time						1	0	unbounded	1.0
UN00003574	ASCC	Engineering Result. Specified. Binary File	A binary file specified for this engineering result.	Engineering Result		Specified					Binary File			1	0	unbounded	1.0
UN00003575	ASCC	Engineering Result. Specified. Complex Description	A complex description specified for this engineering result.	Engineering Result		Specified					Complex Description			2	0	unbounded	1.0
UN00004043	ACC	Environmental Factor. Details	An environmental hazard or benefit that may affect an object. Also used to express the distance between the risk object and the environmental hazard or benefit, such as the distance between the risk object and the hazardous or beneficial object.	Environmental Factor													1.0
UN00004044	BCC	Environmental Factor. Type. Code	The code specifying the type of environmental factor, such as trees, gas station, river, hospital, fire station. ground movement, excavation.	Environmental Factor		Type		Code						1	0	1	1.0
UN00004045	BCC	Environmental Factor. Description. Text	The textual description of the environmental factor, such as trees, gas station, river, hospital, fire station. ground movement or excavation.	Environmental Factor		Description		Text						2	0	1	1.0
UN00004046	BCC	Environmental Factor. Location Type. Code	The code specifying the type of location for this environmental factor, such as adjacent suite, adjacent building.	Environmental Factor		Location Type		Code						3	0	1	1.0
UN00004047	BCC	Environmental Factor. Location Description. Text	The textual description of the location of the environmental factor.	Environmental Factor		Location Description		Text						4	0	1	1.0
UN00004048	BCC	Environmental Factor. Object At Risk Distance. Measure	The measure of the distance between the object at risk and the environmental factor which affects it.	Environmental Factor		Object At Risk Distance		Measure						5	0	1	1.0
UN00004049	BCC	Environmental Factor. Exposure Type. Code	The code specifying the type of exposure for this environmental factor, such as foundation undermining from roots or danger of falling tree.	Environmental Factor		Exposure Type		Code						6	0	1	1.0
UN00004050	BCC	Environmental Factor. Tree Species. Code	The code specifying the species of a tree, such as oak or willow, for this environmental factor.	Environmental Factor		Tree Species		Code						7	0	1	1.0
UN00000151	ACC	Event. Details	A significant occurrence or happening related to an object process, or person.	Event													1.0
UN00000152	BCC	Event. Identification. Identifier	A unique identifier for this event.	Event		Identification		Identifier						1	0	unbounded	1.0
UN00000153	BCC	Event. Occurrence. Date Time	A date, time, date time, or other date time value of an occurrence of this event.	Event		Occurrence		Date Time						2	0	unbounded	1.1
UN00000188	BCC	Event. Type. Code	A code specifying the type of event.	Event		Type		Code						3	0	unbounded	1.0
UN00000155	BCC	Event. Description. Text	A textual description of the event.	Event		Description		Text						4	0	unbounded	1.0
UN00000240	BCC	Event. Description. Binary Object	Binary object data such as a photograph describing this event.	Event		Description		Binary Object						5	0	unbounded	1.0
UN00001654	BCC	Event. Unit. Quantity	A number of units for this event.	Event		Unit		Quantity						6	0	unbounded	1.0
UN00002991	BCC	Event. Related. Date Time	A date, time, date time or other date time value related to this event.	Event		Related		Date Time						7	0	unbounded	1.0
UN00004459	BCC	Event. Frequency. Code	A code specifying a frequency for this event.	Event		Frequency		Code				Type Of Location Reconciliation Request Code		8	0	unbounded	1.0
UN00000157	ASCC	Event. Occurrence. Location	Location information where this event will occur or has occurred.	Event		Occurrence					Location			1	0	unbounded	1.0
UN00001655	ASCC	Event. Occurrence. Period	A period of time during which this event occurs.	Event		Occurrence					Period			2	0	unbounded	1.0
UN00001656	ASCC	Event. Specified. Instructions	An instruction or a set of instructions specified for this event.	Event		Specified					Instructions			3	0	unbounded	1.0
UN00002992	ASCC	Event. Related. Location	A location related to this event.	Event		Related					Location			4	0	unbounded	1.0
UN00002993	ASCC	Event. Certifying. Party	A certifying party for this event.	Event		Certifying					Party			5	0	unbounded	1.0
UN00003498	ASCC	Event. Specified. Event	An event specified for this event.	Event		Specified					Event			6	0	unbounded	1.0
UN00004462	ASCC	Event. Discrete. Period	A discrete period for this event.	Event		Discrete					Period			7	0	unbounded	1.0
UN00000328	ACC	Examination Result. Details	The results of a detailed inspection.	Examination Result													1.1
UN00000329	BCC	Examination Result. Evaluation Point. Numeric	A numeric evaluation score of the examination result.	Examination Result		Evaluation Point		Numeric						1	0	unbounded	1.0
UN00000330	BCC	Examination Result. Reason. Text	A reason, expressed as text, for the examination result.	Examination Result		Reason		Text						2	0	unbounded	1.0
UN00000331	BCC	Examination Result. Type. Code	A code specifying a type of examination result.	Examination Result		Type		Code						3	0	unbounded	1.0
UN00000332	BCC	Examination Result. Approval. Indicator	An indication of whether or not the consequence of this examination result is approval.	Examination Result		Approval		Indicator						4	0	unbounded	1.1
UN00000806	BCC	Examination Result. Condition. Text	Any condition, expressed as text, that has been placed on the examination result.	Examination Result		Condition		Text						5	0	unbounded	1.0
UN00000944	BCC	Examination Result. Business Type. Code	A code specifying the type of business being reported on in this examination result.	Examination Result		Business Type		Code						6	0	unbounded	1.0
UN00000943	BCC	Examination Result. Status. Code	A code specifying a status for this examination result.	Examination Result		Status		Code						7	0	unbounded	1.0
UN00004051	ACC	External Building Protection. Details	The protection, by external means, that a building has against a threat, such as fire.	External Building Protection													1.0
UN00004052	BCC	External Building Protection. Fire Protection Class. Code	The code specifying the fire protection class of this external building protection.	External Building Protection		Fire Protection Class		Code						1	0	1	1.0
UN00004053	BCC	External Building Protection. Public Fire Station Name. Text	The name, expressed as text, of the public fire station that provides external building protection.	External Building Protection		Public Fire Station Name		Text						2	0	1	1.0
UN00004054	BCC	External Building Protection. Private Fire Station Name. Text	The name, expressed as text, of the private fire station that provides external building protection.	External Building Protection		Private Fire Station Name		Text						3	0	1	1.0
UN00004055	BCC	External Building Protection. Nearest Fire Station Distance. Measure	The measure of the distance from the building to the nearest fire station that provides external building protection.	External Building Protection		Nearest Fire Station Distance		Measure						4	0	1	1.0
UN00004056	BCC	External Building Protection. Hydrant Type. Code	The code specifying the type of hydrant or water source, such as standard hydrant, standpipe, pond or tanker, that provides external building protection.	External Building Protection		Hydrant Type		Code						5	0	1	1.0
UN00004057	BCC	External Building Protection. Hydrant Type Description. Text	The textual description of the type of hydrant that provides external building protection.	External Building Protection		Hydrant Type Description		Text						6	0	1	1.0
UN00004058	BCC	External Building Protection. Nearest Hydrant Distance. Measure	The measure of the distance from the building to the nearest hydrant that provides external building protection.	External Building Protection		Nearest Hydrant Distance		Measure						7	0	1	1.0
UN00004059	BCC	External Building Protection. Nearest Police Station Distance. Measure	The measure of the distance from the building to the nearest police station that provides external building protection.	External Building Protection		Nearest Police Station Distance		Measure						8	0	1	1.0
UN00001187	ACC	Facility. Details	A structure or place that provides a particular service.	Facility													1.0
UN00001196	BCC	Facility. Category. Text	A category, expressed as text, of this facility.	Facility		Category		Text						1	0	unbounded	1.0
UN00001192	BCC	Facility. Construction. Date	A date of construction of this facility.	Facility		Construction		Date						2	0	unbounded	1.0
UN00001189	BCC	Facility. Description. Text	A textual description of this facility.	Facility		Description		Text						3	0	unbounded	1.0
UN00001188	BCC	Facility. Identification. Identifier	A unique identifier for this facility.	Facility		Identification		Identifier						4	0	unbounded	1.0
UN00001194	BCC	Facility. Marketing Phrase. Text	A catch phrase, expressed as text, for the marketing of this facility.	Facility		Marketing Phrase		Text						5	0	unbounded	1.0
UN00001191	BCC	Facility. Name. Text	A name, expressed as text, of this facility.	Facility		Name		Text						6	0	unbounded	1.0
UN00001193	BCC	Facility. Renovation. Date	A date of renovation of this facility.	Facility		Renovation		Date						7	0	unbounded	1.0
UN00001190	BCC	Facility. Style. Text	A style, expressed as text, of this facility.	Facility		Style		Text						8	0	unbounded	1.0
UN00001195	BCC	Facility. Type. Text	A type, expressed as text, of this facility.	Facility		Type		Text						9	0	unbounded	1.0
UN00001200	ASCC	Facility. Actual. Picture	An actual picture of this facility.	Facility		Actual					Picture			1	0	unbounded	1.0
UN00001203	ASCC	Facility. Defined. Contact	A defined contact for this facility.	Facility		Defined					Contact			2	0	unbounded	1.0
UN00001201	ASCC	Facility. Distinctive. Feature	A feature that is a distinctive characteristic of this facility.	Facility		Distinctive					Feature			3	0	unbounded	1.0
UN00001202	ASCC	Facility. Offered. Service	A service that is offered at this facility.	Facility		Offered					Service			4	0	unbounded	1.0
UN00001199	ASCC	Facility. Operating. Period	A period of operation for this facility.	Facility		Operating					Period			5	0	unbounded	1.0
UN00001197	ASCC	Facility. Physical. Location	A physical location of this facility.	Facility		Physical					Location			6	0	unbounded	1.0
UN00001204	ASCC	Facility. Situated At. Source	A source, such as a hot springs, that is situated at a facility.	Facility		Situated At					Source			7	0	unbounded	1.0
UN00001198	ASCC	Facility. Specified. Usage Condition	A specified usage condition for this facility.	Facility		Specified					Usage Condition			8	0	unbounded	1.0
UN00000924	ACC	Factory. Details	A building or buildings with equipment for manufacturing.	Factory													1.0
UN00000925	BCC	Factory. Name. Text	A name, expressed as text, of this factory.	Factory		Name		Text						1	0	unbounded	1.0
UN00000927	ASCC	Factory. Designated. Contact	A designated contact of the factory.	Factory		Designated					Contact			1	0	unbounded	1.0
UN00000926	ASCC	Factory. Postal. Address	A postal address of the factory.	Factory		Postal					Address			2	0	unbounded	1.0
UN00003609	ACC	Failure Analysis. Details	Logical, systematic examination to determine the nature of a failure.	Failure Analysis								WarrantyClaimRequest|ReturnProductRequest					1.0
UN00003610	BCC	Failure Analysis. Failure Action. Code	A code specifying the failure action of the failure analysis.	Failure Analysis		Failure Action		Code						1	0	unbounded	1.0
UN00003611	BCC	Failure Analysis. Failure Cause. Code	A code specifying the cause of failure in the failure analysis, such as intermittent failure.	Failure Analysis		Failure Cause		Code						2	0	unbounded	1.0
UN00003612	BCC	Failure Analysis. Observed Condition. Code	A code specifying the observed condition in the failure analysis.	Failure Analysis		Observed Condition		Code						3	0	unbounded	1.0
UN00003613	BCC	Failure Analysis. System. Code	A code specifying a system of this failure analysis, such as operating system or higher level assembly.	Failure Analysis		System		Code						4	0	unbounded	1.0
UN00003489	ACC	Failure. Details	A breakdown in functionality.	Failure								WarrantyClaimRequest|ReturnProductRequest					1.0
UN00003490	BCC	Failure. Comment. Text	A comment for this failure, expressed as text.	Failure		Comment		Text						1	0	unbounded	1.0
UN00003491	BCC	Failure. Occurrence. Date Time	A date, time, date time, or other date time value of the occurrence of this failure.	Failure		Occurrence		Date Time						2	0	unbounded	1.0
UN00003492	ASCC	Failure. Specified. Failure Analysis	A failure analysis specified for this failure.	Failure		Specified					Failure Analysis			1	0	unbounded	1.0
UN00003493	ACC	Fault. Details	A defect or logical grouping of defects that appear to be related or are showing the same symptoms.	Fault								CaseConfirmationNotification|CaseRequestNotification					1.0
UN00003494	BCC	Fault. Category. Text	A category of this fault, expressed as text.	Fault		Category		Text						1	0	unbounded	1.0
UN00003495	BCC	Fault. Description. Text	A textual description of this fault.	Fault		Description		Text						2	0	unbounded	1.0
UN00003496	BCC	Fault. Detection. Date Time	A date, time, date time, or other date time value of the detection of this fault.	Fault		Detection		Date Time						3	0	unbounded	1.0
UN00003497	BCC	Fault. Unit Last Working. Date Time	A date, time, date time, or other date time value of when the unit affected by this fault was last in working order.	Fault		Unit Last Working		Date Time						4	0	unbounded	1.0
UN00001218	ACC	Feature. Details	Distinctive or characteristic parts of an object.	Feature													1.0
UN00001223	BCC	Feature. Capacity. Quantity	The capacity quantity for this feature.	Feature		Capacity		Quantity						1	0	1	1.0
UN00001222	BCC	Feature. Description. Text	The textual description of this feature.	Feature		Description		Text						2	0	1	1.0
UN00001219	BCC	Feature. Identification. Identifier	The unique identifier for this feature.	Feature		Identification		Identifier						3	0	1	1.0
UN00001221	BCC	Feature. Marketing Phrase. Text	A catch phrase, expressed as text, for marketing of this feature.	Feature		Marketing Phrase		Text						4	0	unbounded	1.0
UN00001220	BCC	Feature. Name. Text	A name, expressed as text, for this feature.	Feature		Name		Text						5	0	unbounded	1.0
UN00004060	ACC	Fee. Details	A charge that is payable as remuneration, such as for membership in a society.	Fee													1.0
UN00004061	BCC	Fee. Type. Code	The code specifying the type of fee.	Fee		Type		Code						1	0	1	1.0
UN00004062	BCC	Fee. Rate. Percent	The percentage rate of the fee.	Fee		Rate		Percent						2	0	1	1.0
UN00004063	BCC	Fee. Actual. Amount	The actual monetary value of the fee.	Fee		Actual		Amount						3	0	1	1.0
UN00004064	BCC	Fee. Credit. Indicator	The indication of whether or not this fee is a credit.	Fee		Credit		Indicator						4	0	1	1.0
UN00004065	BCC	Fee. Type Description. Text	The textual description of the type of fee.	Fee		Type Description		Text						5	0	1	1.0
UN00000001	ACC	Financial Account. Details	A specific business arrangement whereby debits and/or credits arising from transactions are recorded, such as, a financial account with a bank, a financial account with a trading partner etc.	Financial Account													1.1
UN00000002	BCC	Financial Account. Identification. Identifier	A unique identifier for this financial account.	Financial Account		Identification		Identifier				Account Number		1	0	unbounded	1.0
UN00000006	BCC	Financial Account. Type. Code	A code specifying the type of financial account such as savings, checking.	Financial Account		Type		Code						2	0	unbounded	1.0
UN00000004	BCC	Financial Account. Account Name. Text	An account name, expressed as text, of this financial account.	Financial Account		Account Name		Text						3	0	unbounded	1.0
UN00000783	BCC	Financial Account. Currency. Code	A code specifying the currency of this financial account (Reference ISO 4217 codes).	Financial Account		Currency		Code						4	0	unbounded	1.0
UN00002655	BCC	Financial Account. Type. Text	A type, expressed as text, of a financial account.	Financial Account		Type		Text						5	0	unbounded	1.0
